ID	chromosome	position	L.1	L.2	m4	m5	L3	m6
Hs.212680	1	1180411	NA	0.038	6.22625	3.22625	6.038	NA
Hs.129780	1	1188041.5	NA	0.028	6.17425	3.17425	6.028	NA
Hs.42806	1	1194444	NA	0.042	6.17425	3.17425	6.042	NA
Hs.76239	1	1332537	NA	0.285	5.62425	2.62425	NA	NA
Hs.40500	1	2362211	NA	0.058	5.85125	2.85125	NA	NA
Hs.449936	1	2372287	0.294	-0.006	5.68525	2.68525	NA	NA
Hs.279899	1	2524197.5	0.355	0.144	6.01125	3.01125	NA	0.355
Hs.87435	1	3407614	0.499	-0.192	5.34025	2.34025	NA	0.499
Hs.20529	1	3567285	0.077	-0.09	5.97325	2.97325	NA	NA
Hs.22047	1	3714110.5	0.265	0.305	5.50525	2.50525	NA	0.265
Hs.201972	1	3774364	0.143	NA	6.19525	3.19525	NA	NA
Hs.25924	1	4689850	-0.162	NA	6.34925	3.34925	NA	-0.162
Hs.388126	1	6135283.5	0.452	NA	5.62725	2.62725	6.075	0.452
Hs.444729	1	6213339.5	0.199	NA	5.57325	2.57325	6.036	0.199
Hs.502330	1	6581612.5	0.007	NA	5.65425	2.65425	6.318	0.007
Hs.253254	1	7270909	0.052	NA	6.04975	3.04975	5.949	NA
Hs.128740	1	8325245	0.069	NA	5.73825	2.73825	5.794	0.069
Hs.119887	1	8435601	0.035	NA	5.9065	2.9065	5.917	0.035
Hs.194369	1	8579256	-0.148	NA	5.64625	2.64625	6.374	-0.148
Hs.433455	1	8864170	0.1405	NA	5.84125	2.84125	6.036	0.1405
Hs.458389	1	9325553	0.282	NA	5.73025	2.73025	4.164	NA
Hs.443826	1	9555460	-0.486	NA	5.67725	2.67725	3.941	NA
Hs.108222	1	9860332	-0.015	NA	6.18625	3.18625	4.038	NA
Hs.146559	1	11186983.5	0.332	NA	6.04625	3.04625	3.794	0.332
Hs.321687	1	11653081.5	0.374	NA	6.33325	3.33325	3.789	NA
Hs.284226	1	11663561.5	-0.264	-0.089	6.10225	3.10225	3.911	NA
Hs.376681	1	11991232.5	0.206	0.214	5.96525	2.96525	4.214	NA
Hs.1314	1	12098114.5	-0.513	-0.768	6.33875	3.33875	3.232	NA
Hs.468675	1	13672657.5	-0.025	0.007	6.43625	3.43625	4.007	-0.025
Hs.413375	1	13836768	0.0325	-0.1215	6.19675	7.19675	3.8785	0.0325
Hs.368823	1	14904433.5	0.063	-0.163	6.11825	7.11825	3.837	0.063
Hs.329502	1	15580096	0.247	0.235	5.41425	6.41425	4.235	0.247
Hs.301065	1	16703796	0.26	0.396	5.69925	6.69925	4.396	0.26
Hs.349110	1	16719353.5	0.267	-0.138	6.21825	7.21825	3.862	NA
Hs.128866	1	17070672.5	0.248	-0.166	6.01425	7.01425	3.834	0.248
Hs.64	1	17112680.5	-0.215	-0.022	5.90325	6.90325	3.978	-0.215
Hs.439200	1	19305390	-0.011	-0.024	6.16425	7.16425	3.976	NA
Hs.22180	1	19744223	0.33	-0.242	5.85725	6.85725	3.758	NA
Hs.374987	1	19980428.5	0.056	0.16	5.89525	6.89525	4.16	0.056
Hs.76422	1	20047436	-0.219	-0.491	6.37325	7.37325	3.509	-0.219
Hs.72924	1	20675819	0.007	0.134	6.08525	7.08525	4.134	NA
Hs.492802	1	21291420.5	0.314	0.097	5.97175	6.97175	4.097	0.314
Hs.433797	1	21679929.5	0.462	0.071	5.90625	6.90625	4.071	0.462
Hs.25766	1	22189914	0.232	-0.27	5.97525	6.97525	3.73	NA
Hs.302428	1	22202826	0.106	0.1135	5.82425	6.82425	4.1135	0.106
Hs.528723	1	22561978.5	-0.014	-0.057	5.99525	6.99525	3.943	-0.014
Hs.94953	1	22719539	0.702	-0.346	5.82325	6.82325	3.654	NA
Hs.125124	1	22884930.5	0.238	-0.207	5.94625	6.94625	3.793	0.238
Hs.99836	1	23355829	-0.17	-0.262	6.20125	7.20125	3.738	NA
Hs.446354	1	23474713.5	-0.655	0.506	6.13625	7.13625	4.506	NA
Hs.15535	1	23828370	0.05	-0.1285	6.05325	3.05325	3.8715	0.05
Hs.413781	1	23865143	0.108	0.104	5.54925	2.54925	4.104	0.108
Hs.129319	1	24591752	0.339	0.02	5.71825	2.71825	4.02	NA
Hs.170019	1	24986518.5	0.487	0.194	5.84225	2.84225	4.194	NA
Hs.20013	1	25303195	-0.055	-0.049	6.33225	3.33225	3.951	-0.055
Hs.468538	1	25392925	-0.203	0.181	6.12525	3.12525	4.181	-0.203
Hs.184482	1	25576401	0.327	0.14	5.78925	2.78925	4.14	0.327
Hs.8518	1	25819835.5	0.136	0.292	5.97925	2.97925	4.292	NA
Hs.209983	1	25914125	-0.224	0.073	6.22425	3.22425	4.073	-0.224
Hs.477083	1	25986478.5	-0.233	-0.052	5.69725	2.69725	3.948	NA
Hs.259664	1	26059453.5	0.369	-0.068	6.31225	3.31225	3.932	0.369
Hs.149957	1	26563032	0.246	0.205	5.92125	2.92125	4.205	NA
Hs.19066	1	26851846	0.347	-0.05	5.88225	2.88225	3.95	NA
Hs.427055	1	26923360	-0.007	-0.357	5.98625	2.98625	3.643	-0.007
Hs.469154	1	27309122.5	0.585	0.721	5.58325	2.58325	4.721	0.585
